


"(0.033068180084228516, -0.13, -0.28, 9.5, 29.628460148199828)
","(4.347942352294922, -0.16, -0.29, 9.540000000000001, 29.83865427780374)
"
"(4.382329225540161, -0.14, -0.29, 9.55, 30.095647368779286)
","(4.414179563522339, -0.17, -0.29, 9.540000000000001, 30.027043400590582)
","(4.44477915763855, -0.13, -0.26, 9.56, 30.07370568680943)
","(4.474602937698364, None, None, None, 29.86198555925422)
"




