


"(0.07123708724975586, -0.16, -0.3, 9.52, 30.501895401151277)
","(2.106633186340332, -0.15, -0.29, 9.57, 30.70505170524323)
","(2.1385881900787354, -0.12, -0.29, 9.55, 30.634361343903304)
","(2.1757638454437256, -0.15, -0.29, 9.52, 30.400347382842348)
","(2.210939645767212, -0.14, -0.3, 9.540000000000001, 30.517701051064233)
"
"(2.3196427822113037, -0.12, -0.29, 9.51, 30.682415320154863)
","(2.3502614498138428, -0.15, -0.32, 9.57, 30.541728180760487)
","(2.3811087608337402, -0.16, -0.29, 9.57, 30.44666491146436)
","(2.4114654064178467, -0.13, -0.3, 9.51, 30.56194763753819)
","(2.441772937774658, -0.14, -0.27, 9.56, 30.67861243160943)
","(2.4723782539367676, -0.14, -0.3, 9.53, 30.6549363833584)
","(2.5025768280029297, -0.14, -0.28, 9.55, 30.65356917139382)
","(2.533444404602051, -0.15, -0.26, 9.540000000000001, 30.583568583605867)
","(2.5644729137420654, -0.16, -0.27, 9.55, 30.583227623115093)
","(2.596111536026001, -0.14, -0.29, 9.56, 30.443227135560022)
","(2.6285300254821777, -0.12, -0.28, 9.52, 30.84023964231292)
","(2.660705327987671, -0.16, -0.28, 9.540000000000001, 30.770578356093836)
","(2.6924216747283936, -0.14, -0.27, 9.57, 30.53656059058746)
","(2.7256619930267334, -0.14, -0.29, 9.51, 30.81690565551587)
"
"(2.822970151901245, -0.14, -0.29, 9.53, 30.536901779262514)
","(2.8532798290252686, -0.15, -0.29, 9.56, 30.72391096655449)
","(2.8842403888702393, -0.16, -0.27, 9.540000000000001, 30.56023515601698)
","(2.915379047393799, -0.13, -0.28, 9.55, 30.653228553177005)
","(2.946054697036743, -0.12, -0.29, 9.56, 30.65356917139382)
","(2.978091239929199, -0.15, -0.27, 9.52, 30.559894081431604)
","(3.0127432346343994, -0.16, -0.3, 9.53, 30.582547123849455)
","(3.0486063957214355, -0.17, -0.28, 9.55, 30.77091935167286)
","(3.0850980281829834, -0.17, -0.28, 9.57, 30.51425248059278)
","(3.122213840484619, -0.15, -0.27, 9.55, 30.72596541781226)
","(3.1589765548706055, -0.14, -0.3, 9.56, 30.774009637991714)
","(3.194943428039551, -0.13, -0.3, 9.540000000000001, 30.516661503934312)
","(3.231635332107544, -0.16, -0.28, 9.52, 30.586313328216516)
"
"(3.3418126106262207, -0.15, -0.29, 9.52, 30.564365015709384)
","(3.3772566318511963, -0.16, -0.27, 9.51, 30.704358129567673)
","(3.4148292541503906, -0.15, -0.27, 9.53, 30.517701051064233)
","(3.450559139251709, -0.14, -0.27, 9.53, 30.400347382842348)
","(3.485869884490967, -0.15, -0.27, 9.55, 30.587004253433296)
","(3.519160509109497, -0.15, -0.29, 9.53, 30.56401825426035)
","(3.5554091930389404, -0.17, -0.29, 9.540000000000001, 30.74998678282893)
","(3.591764450073242, -0.16, -0.29, 9.52, 30.657347249833897)
","(3.6273725032806396, -0.13, -0.3, 9.53, 30.633323507985775)
"
