


"(0.03357386589050293, -0.16, -0.29, 9.57, 28.61936422529233)
","(1.5443525314331055, -0.16, -0.28, 9.55, 29.09278278823536)
","(1.576770305633545, -0.15, -0.27, 9.55, 28.952103241700335)
","(1.60884690284729, -0.17, -0.3, 9.540000000000001, 29.13838906436981)
","(1.6409804821014404, -0.13, -0.29, 9.57, 28.601463507860807)
","(1.6744394302368164, -0.16, -0.28, 9.55, 28.81107363118576)
","(1.7071139812469482, -0.15, -0.28, 9.540000000000001, 28.718812533676044)
","(1.7393906116485596, -0.15, -0.29, 9.55, 28.71775658916874)
","(1.7723894119262695, -0.14, -0.28, 9.53, 28.81107363118576)
"
"(1.804328203201294, -0.16, -0.3, 9.55, 28.928422513332507)
","(1.8375978469848633, -0.15, -0.29, 9.57, 28.974380411107855)
","(1.869506597518921, -0.16, -0.29, 9.56, 28.64812119101631)
","(1.9023902416229248, -0.15, -0.26, 9.55, 28.81107363118576)
","(1.9357728958129883, -0.15, -0.26, 9.57, 28.623037243010646)
","(1.9686765670776367, -0.13, -0.28, 9.540000000000001, 29.09208010562763)
","(2.0010793209075928, -0.13, -0.29, 9.58, 28.927721077048652)
","(2.0340662002563477, -0.14, -0.27, 9.51, 28.858083280459894)
","(2.0674667358398438, -0.16, -0.3, 9.56, 28.858083280459894)
","(2.1000165939331055, -0.13, -0.28, 9.540000000000001, 28.834403018726878)
","(2.132310152053833, -0.15, -0.29, 9.53, 28.764415008547758)
","(2.1652238368988037, -0.15, -0.31, 9.57, 28.928071558269902)
","(2.198556661605835, -0.14, -0.29, 9.540000000000001, 28.64706706305992)
","(2.231062173843384, -0.16, -0.28, 9.53, 28.951401085839343)
","(2.2634711265563965, -0.14, -0.28, 9.52, 28.787744294459383)
"
"(2.29440975189209, -0.13, -0.29, 9.540000000000001, 28.928071558269902)
","(2.328134298324585, -0.15, -0.29, 9.540000000000001, 28.786693640878852)
","(2.360751152038574, -0.14, -0.3, 9.56, 28.786693640878852)
","(2.392927885055542, -0.14, -0.28, 9.55, 28.670046008718177)
","(2.4259843826293945, -0.13, -0.28, 9.55, 28.6926764545515)
","(2.4596753120422363, -0.16, -0.3, 9.55, 28.64706706305992)
","(2.4922091960906982, -0.15, -0.27, 9.58, 28.857732457082744)
","(2.5243546962738037, -0.14, -0.26, 9.53, 28.76371387089031)
","(2.5573744773864746, -0.13, -0.28, 9.57, 28.95105071866842)
","(2.591417074203491, -0.14, -0.29, 9.55, 28.904041364808492)
","(2.6237618923187256, -0.16, -0.28, 9.540000000000001, 28.78739360276277)
","(2.658909559249878, -0.14, -0.28, 9.57, 28.997360489138043)
","(2.6920363903045654, -0.13, -0.29, 9.53, 28.764064202800814)
","(2.7243499755859375, -0.13, -0.28, 9.56, 28.60040869563197)
","(2.7573957443237305, -0.13, -0.26, 9.540000000000001, 28.741085773450873)
","(2.790593385696411, -0.15, -0.28, 9.51, 28.833702565376313)
"
"(2.8257150650024414, -0.14, -0.29, 9.540000000000001, 28.60075982588001)
","(2.859013795852661, -0.15, -0.29, 9.53, 28.69407630780834)
","(2.8923916816711426, -0.15, -0.27, 9.55, 29.022091444995166)
","(2.9246933460235596, -0.14, -0.3, 9.51, 28.857732457082744)
","(2.956904172897339, -0.12, -0.28, 9.56, 28.64636668023019)
","(2.9900078773498535, -0.15, -0.3, 9.53, 29.09102963555572)
","(3.0235235691070557, -0.15, -0.28, 9.53, 28.903342543447526)
","(3.0561392307281494, -0.14, -0.29, 9.57, 29.11435963289839)
","(3.086479902267456, -0.15, -0.31, 9.540000000000001, 28.95105071866842)
","(3.1192774772644043, -0.14, -0.3, 9.540000000000001, 28.903342543447526)
","(3.1517791748046875, -0.15, -0.28, 9.56, 28.926672476418286)
","(3.1848480701446533, -0.15, -0.28, 9.52, 28.66934680164722)
","(3.217129707336426, -0.15, -0.29, 9.540000000000001, 28.576378521010877)
","(3.2493655681610107, -0.15, -0.26, 9.55, 28.80967416361923)
","(3.283017158508301, -0.16, -0.28, 9.5, 29.20663563588816)
"
"(3.314359664916992, -0.16, -0.29, 9.58, 28.950002460198874)
","(3.347055673599243, -0.16, -0.28, 9.540000000000001, 28.87966384732519)
","(3.3791263103485107, -0.14, -0.31, 9.53, 28.87966384732519)
","(3.411965847015381, -0.14, -0.28, 9.55, 28.94965398839338)
","(3.445582866668701, -0.13, -0.29, 9.52, 28.856682829969913)
","(3.478701591491699, -0.13, -0.29, 9.540000000000001, 28.786344370686628)
","(3.5114312171936035, -0.16, -0.29, 9.55, 28.693025707118434)
","(3.544858932495117, -0.17, -0.29, 9.55, 28.787043384902592)
","(3.5776195526123047, -0.15, -0.29, 9.55, 28.80967416361923)
","(3.6097443103790283, -0.13, -0.26, 9.57, 29.020341319944663)
","(3.6432108879089355, -0.13, -0.29, 9.56, 28.950002460198874)
","(3.676774501800537, -0.14, -0.28, 9.53, 28.83335304945323)
","(3.709228515625, -0.14, -0.27, 9.55, 28.90264561745198)
","(3.741267204284668, -0.14, -0.27, 9.53, 28.693025707118434)
","(3.7742087841033936, -0.14, -0.3, 9.53, 28.996662580223965)
"
"(3.809255599975586, -0.14, -0.28, 9.57, 28.73898736217446)
","(3.839426279067993, -0.14, -0.3, 9.55, 28.832655439126206)
","(3.871572971343994, -0.14, -0.27, 9.56, 28.762317281583144)
","(3.903679609298706, -0.14, -0.28, 9.57, 28.902297865208865)
","(3.9370973110198975, -0.15, -0.27, 9.52, 28.715309302731868)
","(3.970010995864868, -0.15, -0.29, 9.540000000000001, 28.80932548131869)
","(4.002259016036987, -0.15, -0.28, 9.52, 28.761621829928504)
","(4.0350236892700195, -0.15, -0.28, 9.55, 28.855289960872764)
","(4.068673133850098, -0.16, -0.27, 9.540000000000001, 28.972636253144902)
","(4.101197004318237, -0.16, -0.27, 9.44, 28.716006158270527)
","(4.133217811584473, -0.13, -0.29, 9.48, 29.182957761877578)
","(4.166238307952881, -0.15, -0.28, 9.540000000000001, 28.761969318840066)
","(4.199850082397461, -0.13, -0.28, 9.51, 28.855289960872764)
","(4.232629776000977, -0.17, -0.27, 9.52, 28.692327675811164)
","(4.264714479446411, -0.16, -0.29, 9.51, 28.878620248430103)
","(4.297513246536255, -0.12, -0.29, 9.53, 28.972288843077365)
"
"(4.33073091506958, -0.14, -0.29, 9.55, 29.066305239882286)
"


